Row Labels,Count of Gini index,Count of Access to electricity (% of population),"Count of Access to electricity, rural (% of rural population)","Count of Access to electricity, urban (% of urban population)",Count of Adjusted net national income per capita (annual % growth),"Count of Communications, computer, etc. (% of service imports, BoP)","Count of Compulsory education, duration (years)","Count of Computer, communications and other services (% of commercial service imports)",Count of Cost of business start-up procedures (% of GNI per capita),"Count of Current education expenditure, total (% of total expenditure in public institutions)","Count of Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Count of Employment to population ratio, ages 15-24, total (%) (national estimate)",Count of Fixed broadband subscriptions,Count of GDP (current US$),Count of Individuals using the Internet (% of population),"Count of International tourism, expenditures (current US$)","Count of Labor force participation rate for ages 15-24, total (%) (national estimate)",Count of Labor force with advanced education (% of total working-age population with advanced education),"Count of Labor force, female (% of total labor force)","Count of School enrollment, tertiary (% gross)",Count of Technicians in R&D (per million people),Count of Urban population (% of total population),Count of Urban population growth (annual %),Count of Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Count of Fixed broadband subscriptions (per 100 people),"Count of Individuals using the Internet, female (% of female population)","Count of Individuals using the Internet, male (% of male population)",Count of Mobile cellular subscriptions,Count of Mobile cellular subscriptions (per 100 people)
Afghanistan,,12,12,12,,12,12,12,12,6,2,4,11,12,12,12,4,2,12,4,,12,12,,11,,,12,12
Albania,8,12,12,12,12,12,12,12,12,6,7,12,12,12,12,12,12,12,12,12,1,12,12,8,12,1,1,12,12
Algeria,1,12,12,12,12,12,12,12,12,,2,7,12,12,12,12,7,1,12,11,1,12,12,1,12,1,1,12,12
American Samoa,,,,,,,,,,,,,,12,,,,,,,,12,12,,,,,,
Andorra,,12,12,12,,1,12,1,,10,3,,12,12,11,1,1,,,9,,12,12,,12,1,1,12,12
Angola,2,12,3,12,12,12,12,12,12,,3,5,12,12,12,12,5,4,12,7,2,12,12,2,12,1,1,12,12
Antigua and Barbuda,,12,12,12,,12,12,12,12,1,,,11,12,12,6,,,,4,,12,12,,11,,,11,11
Argentina,11,12,12,12,12,12,12,12,12,11,,10,12,12,12,12,10,10,12,12,11,12,12,11,12,2,2,12,12
Armenia,12,12,12,12,12,12,12,12,12,6,8,12,12,12,12,12,10,12,12,12,,12,12,12,12,7,7,12,12
Aruba,,12,12,12,,12,9,12,,8,,,7,12,10,12,,,,9,,12,12,,7,,,8,8
Australia,5,12,12,12,,12,12,12,12,,12,12,12,12,12,12,12,12,12,5,1,12,12,5,12,6,6,12,12
Austria,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,12,12,12,12,5,12,12,12,12,12,12,12,12
Azerbaijan,,12,12,12,5,12,12,12,12,12,12,3,12,12,12,12,3,,12,12,,12,12,,12,9,9,12,12
"Bahamas, The",,12,12,12,12,12,12,12,12,,2,1,12,12,12,12,1,1,12,,,12,12,,12,1,1,12,12
Bahrain,,12,12,12,12,12,12,12,12,1,4,3,12,12,12,12,3,,12,9,1,12,12,,12,8,9,12,12
Bangladesh,2,12,12,12,12,12,12,12,7,6,9,4,12,12,12,12,4,4,12,11,,12,12,2,12,1,1,12,12
Barbados,,12,12,12,,10,12,10,9,7,5,7,12,12,12,9,9,5,12,3,,12,12,,12,,,12,12
Belarus,12,12,12,12,12,12,12,12,12,10,2,5,12,12,12,12,5,4,12,12,,12,12,12,12,11,11,12,12
Belgium,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,11,12,12,12,12,4,12,12,12,12,12,12,12,12
Belize,,12,12,12,12,12,12,12,12,,2,7,12,12,12,12,7,7,12,12,,12,12,,12,1,1,12,12
Benin,3,12,12,12,12,12,12,12,12,7,1,3,12,12,12,12,3,2,12,12,,12,12,3,12,,,12,12
Bermuda,,12,12,12,,12,12,12,,1,2,,9,12,10,12,,,,10,,12,12,,9,,,10,10
Bhutan,2,12,12,12,12,12,,12,12,1,2,8,12,12,12,12,8,4,12,9,,12,12,2,12,,,12,12
Bolivia,11,12,12,12,12,12,12,12,12,12,11,11,12,12,12,12,11,11,12,,2,12,12,11,12,6,6,12,12
Bosnia and Herzegovina,1,12,12,12,12,12,12,12,12,3,8,12,12,12,12,12,12,12,12,12,7,12,12,1,12,4,4,12,12
Botswana,2,12,12,12,12,12,,12,12,1,1,4,12,12,12,12,4,3,12,11,2,12,12,2,12,1,1,12,12
Brazil,11,12,12,12,12,12,12,12,7,12,,11,12,12,12,12,11,11,12,8,7,12,12,11,12,9,9,12,12
British Virgin Islands,,12,12,12,,,12,,,,,,11,,6,,,,,5,,12,12,,11,2,2,12,12
Brunei Darussalam,,12,12,12,12,8,12,8,12,1,5,4,12,12,12,9,4,4,12,12,,12,12,,12,2,2,12,12
Bulgaria,12,12,12,12,12,12,12,12,12,9,12,12,12,12,12,12,12,12,12,12,4,12,12,12,12,12,12,12,12
Burkina Faso,3,12,7,12,12,12,12,12,12,,2,3,12,12,12,12,3,3,12,12,1,12,12,3,12,1,1,12,12
Burundi,1,12,8,12,12,12,,12,12,5,,2,12,12,12,4,2,1,12,11,2,12,12,1,12,3,3,12,12
Cabo Verde,1,12,12,12,12,12,12,12,12,4,1,5,12,12,12,12,5,5,12,11,2,12,12,1,12,4,4,12,12
Cambodia,,12,12,12,12,12,,12,12,6,11,11,12,12,11,12,11,11,12,8,1,12,12,,12,4,4,12,12
Cameroon,1,12,12,12,12,12,12,12,12,5,2,2,12,12,12,12,2,1,12,12,,12,12,1,12,1,1,12,12
Canada,12,12,12,12,12,12,12,12,12,11,10,12,12,12,12,4,12,12,12,12,10,12,12,12,12,2,2,12,12
Cayman Islands,,12,12,12,,4,12,4,,1,3,6,11,12,10,12,6,4,,11,,12,12,,11,,,11,11
Central African Republic,1,12,10,12,10,,12,,12,2,,,7,12,12,6,,,12,5,,12,12,1,7,,,12,12
Chad,2,12,11,12,12,,12,,12,3,1,1,11,12,12,,1,1,12,6,1,12,12,2,11,,,12,12
Channel Islands,,12,12,12,,,,,,,,,,4,,,,,12,,,12,12,,,,,,
Chile,5,12,12,12,12,12,12,12,12,5,5,12,12,12,12,12,12,11,12,12,10,12,12,5,12,4,4,12,12
China,11,12,12,12,12,12,12,12,7,,,,12,12,12,,1,,12,12,,12,12,11,12,1,1,12,12
Colombia,12,12,12,12,12,12,12,12,12,,1,12,12,12,12,12,12,12,12,12,,12,12,12,12,10,10,12,12
