"Access.to.electricity....of.population.","Access.to.electricity..rural....of.rural.population.","Access.to.electricity..urban....of.urban.population.","Communications..computer..etc.....of.service.imports..BoP.","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Gini.index","Individuals.using.the.Internet....of.population.","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Poverty.headcount.ratio.at..2.15.a.day..2017.PPP.....of.population.","Poverty.gap.at..2.15.a.day..2017.PPP.....","Individuals.using.the.Internet..female....of.female.population.","Individuals.using.the.Internet..male....of.male.population.","Mobile.cellular.subscriptions","Mobile.cellular.subscriptions..per.100.people."
42.4,28,89.9,24.61,78.6,17.64,36.2198132780083,1.84,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,7900000,29.89
48.3,36.7,85.9,28.25,82.11,22.64,36.2198132780083,3.55,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,10500000,38.34
42.7,30.2,82.8,21.47,81.19,19.49,36.2198132780083,4,14,0.5,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,10200000,36.24
43.2,29.6,86.6,24.53,75.82,22.67,36.2198132780083,5,16,0.55,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,13800000,47.17
69.1,60.8,95,29.51,71.64,27.69,36.2198132780083,5.45,38,1.25,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,15300000,50.35
68,60.2,92.2,19.56,45.97,15.58,36.2198132780083,5.9,46,1.46,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,16800000,53.29
89.5,86.5,98.7,24.48,63.23,22.14,36.2198132780083,7,57,1.74,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,18400000,56.26
71.5,64.6,92.5,13.18,69.92,9.95,36.2198132780083,8.26,74,2.19,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,19700000,58.39
97.7,97.1,99.5,10.99,61.68,7.12,36.2198132780083,11,426,12.3,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,21600000,62.37
97.7,97.1,99.5,9.26,64.76,5.66,36.2198132780083,13.5,1577,44.24,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,23900000,67.14
93.4,91.6,98.8,13.51,65.52,9.85,36.2198132780083,16.8,1965,53.56,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2.2e+07,59.9
97.7,97.1,99.5,12.07,63.72,8.08,36.2198132780083,17.6,1047,27.72,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,22600000,59.78
100,100,98.3,13.33,25.07,12.65,30,23.86,82041.0339782916,3567.78490926012,0.2,0,63.99525,67.5129845422117,1860000,63
99.6,100,98.7,9.52,18.29,8.84,36.2198132780083,41.2,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2460000,84.07
99.6,100,99.1,11.78,26.38,10.98,36.2198132780083,45,12,4.12,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2690000,92.41
99.7,100,99.5,8.66,28.99,8.13,36.2198132780083,47,24,8.26,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3100000,106.87
99.9,99.9,99.9,8.39,26.42,7.87,29,49.4,74,25.51,0.6,0.1,63.99525,67.5129845422117,3500000,121.02
99.9,99.8,99.9,12.65,22.44,9.95,36.2198132780083,51.8,103,35.58,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3690000,127.67
100,99.9,100,10.66,22.27,8.92,34.6,54.3,151,52.27,1,0.1,63.99525,67.5129845422117,3360000,116.49
100,100,100,11.12,23.85,9.89,32.8,56.9,197,68.39,0.1,0,63.99525,67.5129845422117,3400000,117.99
99.9,99.7,100,13.36,27.04,10.32,33.7,59.6,416,144.64,0.1,0,63.99525,67.5129845422117,3370000,116.96
99.9,99.7,100,15.44,30.51,10.21,33.1,62.4,1273,443.02,0.4,0,63.99525,67.5129845422117,3630000,125.92
100,100,100,13.73,29.85,9.16,30.1,65.4,1508,526.1,0,0,63.99525,67.5129845422117,2710000,94.36
100,100,100,13.34,30,9.86,30.1,68.55,2190,767.29,0,0,65.96,71.16,2630000,91.52
99.3,97.9,100,64.41,53.19,62.36,36.2198132780083,10.18,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2.7e+07,78.19
98.8,97.4,99.5,68.78,53.7,67.45,36.2198132780083,11.23,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,32700000,92.99
98.9,97.5,99.6,67.52,62.94,66.5,36.2198132780083,12.5,13,0.36,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,32800000,91.42
99,97.6,99.7,66.93,65.72,65.42,27.6,14.9,18,0.49,0,0,63.99525,67.5129845422117,35600000,97.46
98.8,97.7,99.3,58.2,64.09,56.59,36.2198132780083,18.2,46,1.23,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,37500000,100.72
99.2,97.8,99.8,55.86,63.93,53.63,36.2198132780083,22.5,68,1.79,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,39500000,103.99
