"Access_Electricity","Access.to.electricity..rural....of.rural.population.","Access.to.electricity..urban....of.urban.population.","Communications_Imports","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Gini_Index","Internet_Usage","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Poverty_Rate","Poverty_Gap","Individuals.using.the.Internet..female....of.female.population.","Individuals.using.the.Internet..male....of.male.population.","Mobile.cellular.subscriptions","Mobile_Cellular_Subscriptions","Log_Internet_Usage","Log_Access_Electricity","Log_Gini_Index","Log_Poverty_Rate","Log_Mobile_Cellular_Subscriptions","Log_Poverty_Gap","Log_Communications_Imports","Scaled_Internet_Usage","Scaled_Access_Electricity","Scaled_Gini_Index","Scaled_Poverty_Rate","Scaled_Mobile_Cellular_Subscriptions","Scaled_Poverty_Gap","Scaled_Communications_Imports","Internet_x_Electricity","Mobile_Cellular_x_Gini","Poverty_Gap_x_Electricity","Communications_x_Internet"
42.4,28,89.9,24.61,78.6,17.64,36.2198132780083,1.84,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,7900000,29.89,1.04380405217311,3.77045944110636,3.6168412344903,1.90905665524534,3.43043250693049,1.08751957056636,3.24298290021143,-2.3788235095787,-0.935190177176148,0.0607291704414302,0.394166300634521,-1.74603009491558,0.336626426613018,-0.542190905036684,2.22465237939369,-0.106034959229995,-0.314809727546402,1.28977647158102
48.3,36.7,85.9,28.25,82.11,22.64,36.2198132780083,3.55,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,10500000,38.34,1.51512723296286,3.89792408104864,3.6168412344903,1.90905665524534,3.67224181296091,1.08751957056636,3.37587957367787,-1.9130726106575,-0.715744518860085,0.0607291704414302,0.394166300634521,-1.34020135492404,0.336626426613018,-0.280326732585005,1.36927123525946,-0.0813893165090177,-0.240938519751724,0.536285394143481
42.7,30.2,82.8,21.47,81.19,19.49,36.2198132780083,4,14,0.5,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,10200000,36.24,1.6094379124341,3.77734810210154,3.6168412344903,1.90905665524534,3.61738345240887,1.08751957056636,3.11218108619724,-1.81987693191325,-0.923330521449752,0.0607291704414302,0.394166300634521,-1.43227018265575,0.336626426613018,-0.7999272944329,1.68034791651783,-0.0869805800406792,-0.310817454018365,1.45576923034621
43.2,29.6,86.6,24.53,75.82,22.67,36.2198132780083,5,16,0.55,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,13800000,47.17,1.79175946922805,3.78872478908365,3.6168412344903,1.90905665524534,3.87473642064213,1.08751957056636,3.23985423125339,-1.63971089631276,-0.903744190955468,0.0607291704414302,0.394166300634521,-1.00035450271063,0.336626426613018,-0.548355741869712,1.48187919738904,-0.0607506990969657,-0.304224177573613,0.899144884999436
69.1,60.8,95,29.51,71.64,27.69,36.2198132780083,5.45,38,1.25,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,15300000,50.35,1.86408013080768,4.24992279404054,3.6168412344903,1.90905665524534,3.93866493637457,1.08751957056636,3.41805449872858,-1.56824525550798,-0.109736536302018,0.0607291704414302,0.394166300634521,-0.89306322672491,0.336626426613018,-0.197223810904982,0.172093802411519,-0.0542349889107506,-0.036940218084238,0.309295305724941
68,60.2,92.2,19.56,45.97,15.58,36.2198132780083,5.9,46,1.46,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,16800000,53.29,1.93152141160321,4.23410650459726,3.6168412344903,1.90905665524534,3.99434004791736,1.08751957056636,3.02334744058696,-1.50160130834993,-0.13696617465953,0.0607291704414302,0.394166300634521,-0.799623645191777,0.336626426613018,-0.974968162551212,0.205668587068436,-0.0485604806378491,-0.0461064339424923,1.46401346848643
89.5,86.5,98.7,24.48,63.23,22.14,36.2198132780083,7,57,1.74,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,18400000,56.26,2.07944154167984,4.50534985070588,3.6168412344903,1.90905665524534,4.04760229966997,1.08751957056636,3.23789383070396,-1.35542998395996,0.330011762732438,0.0607291704414302,0.394166300634521,-0.710233568057384,0.336626426613018,-0.552218582482348,-0.447307838267028,-0.0431318954077819,0.111090680428884,0.748493624396443
71.5,64.6,92.5,13.18,69.92,9.95,36.2198132780083,8.26,74,2.19,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,19700000,58.39,2.22570404865809,4.28358656186063,3.6168412344903,1.90905665524534,4.08412586202777,1.08751957056636,2.65183252110398,-1.21089668519574,-0.0517803243359186,0.0607291704414302,0.394166300634521,-0.648936045910724,0.336626426613018,-1.70701392717629,0.062700623096724,-0.0394093477377001,-0.0174306255500634,2.06701750600073
97.7,97.1,99.5,10.99,61.68,7.12,36.2198132780083,11,426,12.3,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,21600000,62.37,2.484906649788,4.59208494643944,3.6168412344903,1.90905665524534,4.14899056333543,1.08751957056636,2.48407296903942,-0.9547585417743,0.479336627973301,0.0607291704414302,0.394166300634521,-0.540073568970725,0.336626426613018,-2.03757311369609,-0.4576507399428,-0.0327982198209346,0.161357376219386,1.945390334791
97.7,97.1,99.5,9.26,64.76,5.66,36.2198132780083,13.5,1577,44.24,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,23900000,67.14,2.67414864942653,4.59208494643944,3.6168412344903,1.90905665524534,4.22156441223282,1.08751957056636,2.32825283974262,-0.76775388119808,0.479336627973301,0.0607291704414302,0.394166300634521,-0.418272823838689,0.336626426613018,-2.3446064512907,-0.368012556526902,-0.025401361609918,0.161357376219386,1.80008070286049
93.4,91.6,98.8,13.51,65.52,9.85,36.2198132780083,16.8,1965,53.56,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2.2e+07,59.9,2.87919845729804,4.54754107315146,3.6168412344903,1.90905665524534,4.10923317471585,1.08751957056636,2.6748380668961,-0.565128302333586,0.402649010120583,0.0607291704414302,0.394166300634521,-0.60679842416222,0.336626426613018,-1.66168300915167,-0.227548351525744,-0.0368503649245387,0.135542297456161,0.93906409797845
97.7,97.1,99.5,12.07,63.72,8.08,36.2198132780083,17.6,1047,27.72,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,22600000,59.78,2.92316158071916,4.59208494643944,3.6168412344903,1.90905665524534,4.10726078748865,1.08751957056636,2.57031952763613,-0.521684938868077,0.479336627973301,0.0607291704414302,0.394166300634521,-0.610108683127568,0.336626426613018,-1.8676299307357,-0.250062699461482,-0.0370513942054506,0.161357376219386,0.974314406244045
100,100,98.3,13.33,25.07,12.65,30,23.86,82041.0339782916,3567.78490926012,0.2,0,63.99525,67.5129845422117,1860000,63,3.21326008608257,4.61512051684126,3.43398720448515,0.182321556793955,4.15888308335967,0,2.66235524184008,-0.235016162207632,0.51899512395935,-1.46345581020428,-1.75177584044613,-0.523470945181401,-1.71021304431398,-1.6862795966199,-0.121972242237401,0.766076596198848,-0.887592230930629,0.396302959206641
99.6,100,98.7,9.52,18.29,8.84,36.2198132780083,41.2,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2460000,84.07,3.74242022104197,4.61115225766564,3.6168412344903,1.90905665524534,4.44347444698779,1.08751957056636,2.35327820730956,0.287887905692543,0.512163290067557,0.0607291704414302,0.394166300634521,-0.0458410457798295,0.336626426613018,-2.29529560702889,0.147445616950151,-0.00278388868237667,0.172407698177808,-0.660787845252841
