Country Name,Attribute,Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Communications, computer, etc. (% of service imports, BoP)","Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)",Electric power consumption (kWh per capita),"Employers, total (% of total employment) (modeled ILO estimate)",Fixed broadband subscriptions,"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net (BoP, current US$)",GDP (current US$),Gini index,GNI (current US$),GNI (constant 2015 US$),Gross national expenditure (% of GDP),Individuals using the Internet (% of population),"Labor force participation rate for ages 15-24, total (%) (national estimate)",Labor force with advanced education (% of total working-age population with advanced education),Labor force with basic education (% of total working-age population with basic education),"Labor force, female (% of total labor force)","Literacy rate, adult total (% of people ages 15 and above)","Primary completion rate, total (% of relevant age group)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, tertiary (% gross)",Secure Internet servers,Secure Internet servers (per 1 million people),Urban population (% of total population),Urban population growth (annual %),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty gap at $2.15 a day (2017 PPP) (%),Fixed broadband subscriptions (per 100 people),"Individuals using the Internet, female (% of female population)","Individuals using the Internet, male (% of male population)",Mobile cellular subscriptions,Mobile cellular subscriptions (per 100 people),Column1,Data from database: World Development Indicators,Last Updated: 11/13/2024
Country Name,2008 [YR2008],42.4,28,89.9,24.61,78.6,17.64,,,,,,0.49,500,0.46,-47951776.13,10109297048,,10107195993,,,1.84,54.87,,,16.64,,,0.59,,,,23.32,2.89,,,0,,,7900000,29.89,,,
Country Name,2009 [YR2009],48.3,36.7,85.9,28.25,82.11,22.64,,,,,,0.61,1000,0.45,-55860135.47,12416152732,,12378340931,,,3.55,,,,16.55,,,0.61,4.02,,,23.53,4.45,,,0,,,10500000,38.34,,,
Country Name,2010 [YR2010],42.7,30.2,82.8,21.47,81.19,19.49,82.67,82.67,78.94,81.68,,0.73,1500,1.2,-192022479.5,15856668556,,15885775064,,,4,,,,16.56,,,0.63,,14,0.5,23.74,3.78,,,0.01,,,10200000,36.24,,,
Country Name,2011 [YR2011],43.2,29.6,86.6,24.53,75.82,22.67,84.11,84.11,77.55,82.63,,0.85,,0.29,-51036283.61,17805098206,,17781511431,,,5,,,,16.88,31,,0.66,3.76,16,0.55,23.95,4.57,,,,,,13800000,47.17,,,
Country Name,2012 [YR2012],69.1,60.8,95,29.51,71.64,27.69,89.26,89.26,65.43,84.92,,1.02,1500,0.29,-65684511.34,19907329778,,19961261595,,,5.45,38.77,,,17.28,,,0.67,,38,1.25,24.16,4.96,,,0,,,15300000,50.35,,,
Country Name,2013 [YR2013],68,60.2,92.2,19.56,45.97,15.58,84.11,84.11,67.15,81.15,,1.56,1500,0.24,-47774027.01,20146416758,,20209353658,,,5.9,,,,18.23,,,0.66,,46,1.46,24.37,4.34,,,0,,,16800000,53.29,,,
Country Name,2014 [YR2014],89.5,86.5,98.7,24.48,63.23,22.14,83.59,83.59,72.43,80.7,,2.35,1500,0.21,-42994416.21,20497128556,,20559672325,,,7,48.46,84.29,48.29,19.22,,,0.65,8.31,57,1.74,24.59,4.53,,,0,,,18400000,56.26,,,
Country Name,2015 [YR2015],71.5,64.6,92.5,13.18,69.92,9.95,84.52,84.52,68.05,80.41,,2.25,7070,0.88,-166983554.9,19134221645,,19249499439,19249499439,,8.26,,,,20.24,33.75,,0.64,,74,2.19,24.8,4,,,0.02,,,19700000,58.39,,,
Country Name,2016 [YR2016],97.7,97.1,99.5,10.99,61.68,7.12,86.35,86.94,,,,2.15,8800,0.52,-79585268.75,18116572395,,18350475875,,,11,,,,21.31,,82.91,0.65,,426,12.3,25.02,3.45,,,0.03,,,21600000,62.37,,,
Country Name,2017 [YR2017],97.7,97.1,99.5,9.26,64.76,5.66,88.64,89.36,,,,2.07,9180,0.27,-40273161,18753456498,,18961769787,,,13.5,39.27,64.68,51.2,22.42,,87.25,0.64,,1577,44.24,25.25,3.78,,,0.03,,,23900000,67.14,,,
