"Country.Name","Year","Adolescent.fertility.rate..births.per.1.000.women.ages.15.19.","Foreign.direct.investment..net.inflows....of.GDP.","GDP..current.US..","GNI..current.US..","Gross.national.expenditure....of.GDP.","Mobile.cellular.subscriptions","Mobile.cellular.subscriptions..per.100.people.","Individuals.using.the.Internet....of.population.","Access.to.electricity....of.population.","Access.to.electricity..urban....of.urban.population.","Adjusted.savings..net.national.savings....of.GNI.","Employers..total....of.total.employment...modeled.ILO.estimate.","Foreign.direct.investment..net..BoP..current.US..","Labor.force..female....of.total.labor.force.","Urban.population....of.total.population.","Urban.population.growth..annual...","Compulsory.education..duration..years.","Access.to.electricity..rural....of.rural.population.","Fixed.broadband.subscriptions","Fixed.broadband.subscriptions..per.100.people.","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Adjusted.net.national.income..current.US..","Communications..computer..etc.....of.service.imports..BoP.","Cost.of.business.start.up.procedures....of.GNI.per.capita.","GNI..constant.2015.US..","Labor.force.participation.rate.for.ages.15.24..total......national.estimate.","Adjusted.net.national.income.per.capita..annual...growth.","Employment.to.population.ratio..ages.15.24..total......national.estimate.","Gini.index","Poverty.headcount.ratio.at..2.15.a.day..2017.PPP.....of.population.","Poverty.gap.at..2.15.a.day..2017.PPP.....","Labor.force.with.basic.education....of.total.working.age.population.with.basic.education.","Labor.force.with.advanced.education....of.total.working.age.population.with.advanced.education.","School.enrollment..tertiary....gross.","School.enrollment..primary.and.secondary..gross...gender.parity.index..GPI.","Educational.attainment..at.least.completed.lower.secondary..population.25...total......cumulative.","International.tourism..expenditures..current.US..","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Primary.completion.rate..total....of.relevant.age.group.","Adolescents.out.of.school....of.lower.secondary.school.age.","Individuals.using.the.Internet..female....of.female.population.","Individuals.using.the.Internet..male....of.male.population."
"Albania",2008,18.55,9.68,12881352894,12946373404,129.25,1860000,63,23.86,100,98.3,5.62,1.75,-881244175.1,43.16,49.99,1.44,8,100,64000,2.14,25.07,12.65,11289217440,13.33,42.5,9773358385,33.07,7.16,24.12,30,0.2,0,48.64,78.9,31.68,1,81.73,1.644e+09,,,109.74,,,
"Albania",2009,18.99,11.17,12044205550,11852736925,126.49,2460000,84.07,41.2,99.6,98.7,4.99,1.46,-950761387.6,42.07,51.08,1.47,8,100,92000,3.11,18.29,8.84,10297867630,9.52,32.2,9893496774,34.63,1.48,25.29,,,,50.47,81.3,32.92,1.02,,1.692e+09,,,108.65,,,
"Albania",2010,19.65,9.14,11926926616,11807769437,119.58,2690000,92.41,45,99.6,99.1,7.53,1.57,-1043511678,42.66,52.16,1.61,8,100,106000,3.6,26.38,10.98,10224245606,11.78,31.8,10319570702,33.64,5.93,23.38,,,,51.62,77.97,43.33,1.01,83.54,1.452e+09,12,4.12,102.08,,,
"Albania",2011,20.69,8.14,12890760315,12894099799,120.69,3100000,106.87,47,99.7,99.5,6.77,1.89,-846616681.6,44.06,53.25,1.79,8,100,128000,4.4,28.99,8.13,10906001759,8.66,29.3,10691786099,44.1,0.8,34.11,,,,55.36,74.52,49.4,1,85.23,1.677e+09,24,8.26,100.5,,,
"Albania",2012,20.91,7.45,12319834195,12228069196,117.14,3500000,121.02,49.4,99.9,99.9,5.28,1.53,-834803023.1,43.08,54.33,1.85,9,99.9,160000,5.5,26.42,7.87,10216293757,8.39,22.4,10760660629,36.21,-0.85,25.62,29,0.6,0.1,52.63,73.07,58.62,0.99,87.21,1.374e+09,74,25.51,117.01,,,
"Albania",2013,20.87,9.82,12776224497,12996543353,119.11,3690000,127.67,51.8,99.9,99.9,3.37,1.74,-1225674342,41.85,55.39,1.74,9,99.8,183000,6.28,22.44,9.95,10878878367,12.65,21.2,11132894273,27.57,2.23,18.96,,,,46.48,73.43,63.84,0.98,86.9,1.567e+09,103,35.58,91.12,0.98,,
"Albania",2014,20.94,8.69,13228147516,13349419700,117.91,3360000,116.49,54.3,100,100,1.42,1.95,-1074294190,41.2,56.42,1.65,9,99.9,208000,7.16,22.27,8.92,11106516465,10.66,10.1,11243215091,28.96,0.93,17.41,34.6,1,0.1,47.07,74.38,65.55,0.98,87.46,1.689e+09,151,52.27,105.69,1.35,,
"Albania",2015,20.28,8.69,11386853113,11521811394,117.62,3400000,117.99,56.9,100,100,-0.15,2.36,-910256726,42.5,57.43,1.48,9,100,243000,8.38,23.85,9.89,9442334426,11.12,10.3,11521811394,31.3,0.69,18.79,32.8,0.1,0,49.37,73.27,61.96,0.98,88.65,1.311e+09,197,68.39,98.79,0.46,,
"Albania",2016,18.17,8.81,11861199831,12053832974,117.45,3370000,116.96,59.6,99.9,100,0.24,2.7,-1037328978,43.58,58.42,1.54,9,99.7,266000,9.19,27.04,10.32,9972441814,13.36,12.5,11951741965,31.65,3.69,20.06,33.7,0.1,0,51.27,74.13,58.49,0.99,89.39,1.338e+09,416,144.64,99.6,0.71,,
"Albania",2017,16.59,7.86,13019726212,13051517644,116.16,3630000,125.92,62.4,99.9,100,-0.5,2.98,-1128922245,42.87,59.38,1.54,9,99.7,304000,10.48,30.51,10.21,10717903288,15.44,12,12244490188,31.62,2.01,21.62,33.1,0.4,0,52.05,73.23,58.02,1,83.56,1.473e+09,1273,443.02,106.45,5,,
