"Country.Name","Years_With_Data","Total_Years"
"Armenia",12,12
"Austria",12,12
"Belarus",12,12
"Belgium",12,12
"Bulgaria",12,12
"Canada",12,12
"Colombia",12,12
"Costa Rica",12,12
"Cyprus",12,12
"Czechia",12,12
"Denmark",12,12
"Dominican Republic",12,12
"Ecuador",12,12
"El Salvador",12,12
"Estonia",12,12
"Finland",12,12
"France",12,12
"Georgia",12,12
"Germany",12,12
"Greece",12,12
"Honduras",12,12
"Hungary",12,12
"Indonesia",12,12
"Ireland",12,12
"Israel",12,12
"Italy",12,12
"Kazakhstan",12,12
"Kyrgyz Republic",12,12
"Latvia",12,12
"Lithuania",12,12
"Luxembourg",12,12
"Malta",12,12
"Moldova",12,12
"Netherlands",12,12
"Norway",12,12
"Panama",12,12
"Paraguay",12,12
"Peru",12,12
"Poland",12,12
"Portugal",12,12
"Romania",12,12
"Slovak Republic",12,12
"Slovenia",12,12
"Spain",12,12
"Sweden",12,12
"Switzerland",12,12
"Thailand",12,12
"Ukraine",12,12
"United Kingdom",12,12
"United States",12,12
"Uruguay",12,12
"Argentina",11,12
"Bolivia",11,12
"Brazil",11,12
"China",11,12
"Croatia",11,12
"North Macedonia",11,12
"Iceland",10,12
"Iran, Islamic Rep.",10,12
"Kosovo",9,12
"Albania",8,12
"Korea, Rep.",8,12
"Montenegro",8,12
"Serbia",8,12
"India",7,12
"Egypt, Arab Rep.",6,12
"Mexico",6,12
"Mongolia",6,12
"Russian Federation",6,12
"Viet Nam",6,12
"Australia",5,12
"Chile",5,12
"Malaysia",5,12
"Pakistan",5,12
"Nigeria",4,12
"Philippines",4,12
"Sri Lanka",4,12
"Uganda",4,12
"West Bank and Gaza",4,12
"Benin",3,12
"Burkina Faso",3,12
"Cote d'Ivoire",3,12
"Djibouti",3,12
"Fiji",3,12
"Japan",3,12
"Malawi",3,12
"Maldives",3,12
"Mauritania",3,12
"Mozambique",3,12
"Niger",3,12
"Rwanda",3,12
"South Africa",3,12
"Togo",3,12
"Turkiye",3,12
"Zimbabwe",3,12
"Angola",2,12
"Bangladesh",2,12
"Bhutan",2,12
"Botswana",2,12
"Chad",2,12
"Eswatini",2,12
"Ethiopia",2,12
"Gambia, The",2,12
"Ghana",2,12
"Guinea",2,12
"Guinea-Bissau",2,12
"Jordan",2,12
"Lao PDR",2,12
"Liberia",2,12
"Madagascar",2,12
"Mali",2,12
"Mauritius",2,12
"Myanmar",2,12
"Namibia",2,12
"Nicaragua",2,12
"Samoa",2,12
"Sao Tome and Principe",2,12
"Senegal",2,12
"Seychelles",2,12
"Sierra Leone",2,12
"South Sudan",2,12
"Sudan",2,12
"Tajikistan",2,12
"Tanzania",2,12
"Tonga",2,12
"Tunisia",2,12
"United Arab Emirates",2,12
"Vanuatu",2,12
"Zambia",2,12
"Algeria",1,12
"Bosnia and Herzegovina",1,12
"Burundi",1,12
"Cabo Verde",1,12
"Cameroon",1,12
"Central African Republic",1,12
"Comoros",1,12
"Congo, Dem. Rep.",1,12
"Congo, Rep.",1,12
"Gabon",1,12
"Grenada",1,12
"Guatemala",1,12
"Haiti",1,12
"Iraq",1,12
"Jamaica",1,12
"Kenya",1,12
"Kiribati",1,12
"Lebanon",1,12
"Lesotho",1,12
"Marshall Islands",1,12
"Micronesia, Fed. Sts.",1,12
"Morocco",1,12
"Nauru",1,12
"Nepal",1,12
"Papua New Guinea",1,12
"Qatar",1,12
"Solomon Islands",1,12
"St. Lucia",1,12
"Syrian Arab Republic",1,12
"Timor-Leste",1,12
"Tuvalu",1,12
"Yemen, Rep.",1,12
"Afghanistan",0,12
"American Samoa",0,12
"Andorra",0,12
"Antigua and Barbuda",0,12
"Aruba",0,12
"Azerbaijan",0,12
"Bahamas, The",0,12
"Bahrain",0,12
"Barbados",0,12
"Belize",0,12
"Bermuda",0,12
"British Virgin Islands",0,12
"Brunei Darussalam",0,12
"Cambodia",0,12
"Cayman Islands",0,12
"Channel Islands",0,12
"Cuba",0,12
"Curacao",0,12
"Dominica",0,12
"Equatorial Guinea",0,12
"Eritrea",0,12
"Faroe Islands",0,12
"French Polynesia",0,12
"Gibraltar",0,12
"Greenland",0,12
"Guam",0,12
"Guyana",0,12
"Hong Kong SAR, China",0,12
"Isle of Man",0,12
"Korea, Dem. People's Rep.",0,12
"Kuwait",0,12
"Libya",0,12
"Liechtenstein",0,12
"Macao SAR, China",0,12
"Monaco",0,12
"New Caledonia",0,12
"New Zealand",0,12
"Northern Mariana Islands",0,12
"Not classified",0,12
"Oman",0,12
"Palau",0,12
"Puerto Rico",0,12
"San Marino",0,12
"Saudi Arabia",0,12
"Singapore",0,12
"Sint Maarten (Dutch part)",0,12
"Small states",0,12
"Somalia",0,12
"South Asia",0,12
"South Asia (IDA & IBRD)",0,12
"St. Kitts and Nevis",0,12
"St. Martin (French part)",0,12
"St. Vincent and the Grenadines",0,12
"Suriname",0,12
"Trinidad and Tobago",0,12
"Turkmenistan",0,12
"Turks and Caicos Islands",0,12
"Uzbekistan",0,12
"Venezuela, RB",0,12
"Virgin Islands (U.S.)",0,12
