"Country.Name","Year","Adolescent.fertility.rate..births.per.1.000.women.ages.15.19.","Foreign.direct.investment..net.inflows....of.GDP.","GDP..current.US..","GNI..current.US..","Gross.national.expenditure....of.GDP.","Mobile_Cellular","Mobile_Cellular_Per100","Internet_Usage","Access_Electricity","Access.to.electricity..urban....of.urban.population.","Adjusted.savings..net.national.savings....of.GNI.","Employers..total....of.total.employment...modeled.ILO.estimate.","Foreign.direct.investment..net..BoP..current.US..","Labor.force..female....of.total.labor.force.","Urban.population....of.total.population.","Urban.population.growth..annual...","Compulsory.education..duration..years.","Access.to.electricity..rural....of.rural.population.","Fixed.broadband.subscriptions","Fixed_Broadband","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Adjusted.net.national.income..current.US..","Communications_Imports","Cost.of.business.start.up.procedures....of.GNI.per.capita.","GNI..constant.2015.US..","Labor.force.participation.rate.for.ages.15.24..total......national.estimate.","Adjusted.net.national.income.per.capita..annual...growth.","Employment.to.population.ratio..ages.15.24..total......national.estimate.","Gini_Index","Poverty_Rate","Poverty_Gap","Labor.force.with.basic.education....of.total.working.age.population.with.basic.education.","Labor.force.with.advanced.education....of.total.working.age.population.with.advanced.education.","School.enrollment..tertiary....gross.","School.enrollment..primary.and.secondary..gross...gender.parity.index..GPI.","Educational.attainment..at.least.completed.lower.secondary..population.25...total......cumulative.","International.tourism..expenditures..current.US..","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Primary.completion.rate..total....of.relevant.age.group.","Adolescents.out.of.school....of.lower.secondary.school.age.","Internet_Female","Internet_Male","Internet_Gender_Gap","Mobile_Penetration_Ratio","Connectivity_Score","Log_Internet_Usage","Log_Mobile_Cellular","Log_Poverty_Gap","Log_Communications_Imports","Log_Fixed_Broadband","Poverty_Quartile","Internet_Level","Digital_Divide","Mobile_Internet_Interaction","Broadband_Mobile_Interaction","Poverty_Internet_Impact","Gini_Internet_Impact","Internet_Gender_Gap_Cat","Mobile_Penetration_Level","Connectivity_Level","Poverty_Connectivity_Group","Scaled_Internet_Usage","Scaled_Mobile_Cellular_Per100","Scaled_Fixed_Broadband","Scaled_Poverty_Gap","Scaled_Gini_Index","Scaled_Communications_Imports"
"Albania",2008,18.55,9.68,12881352894,12946373404,129.25,1860000,63,23.86,100,98.3,5.62,1.75,-881244175.1,43.16,49.99,1.44,8,100,64000,2.14,25.07,12.65,11289217440,13.33,42.5,9773358385,33.07,7.16,24.12,30,0.2,0,48.64,78.9,31.68,1,81.73,1.644e+09,NA,NA,109.74,NA,NA,NA,NA,0.63,29.6666666666667,3.21326008608257,14.4360875833236,0,2.66235524184008,1.14422279992016,2,"Low","Below Average",15.0318,134.82,23.86,16.702,"Unknown","Under_Penetrated",1,"Medium_Balance",-1.55265849251522,-2.1677143698381,-1.40223024932142,-0.620974165658279,-0.714990008626054,-1.71915756124942
"Albania",2009,18.99,11.17,12044205550,11852736925,126.49,2460000,84.07,41.2,99.6,98.7,4.99,1.46,-950761387.6,42.07,51.08,1.47,8,100,92000,3.11,18.29,8.84,10297867630,9.52,32.2,9893496774,34.63,1.48,25.29,NA,NA,NA,50.47,81.3,32.92,1.02,NA,1.692e+09,NA,NA,108.65,NA,NA,NA,NA,0.8407,42.7933333333333,3.74242022104197,14.7156723144125,NA,2.35327820730956,1.41342302850814,NA,"Medium","Below Average",34.63684,261.4577,NA,NA,"Unknown","Under_Penetrated",1,"Medium_Balance",-0.823951025066386,-1.32499528354037,-1.32533110775098,NA,NA,-1.97698232226837
"Albania",2010,19.65,9.14,11926926616,11807769437,119.58,2690000,92.41,45,99.6,99.1,7.53,1.57,-1043511678,42.66,52.16,1.61,8,100,106000,3.6,26.38,10.98,10224245606,11.78,31.8,10319570702,33.64,5.93,23.38,NA,NA,NA,51.62,77.97,43.33,1.01,83.54,1.452e+09,12,4.12,102.08,NA,NA,NA,NA,0.9241,47.0033333333333,3.8286413964891,14.8050521233252,NA,2.54788144894939,1.52605630349505,NA,"Medium","Below Average",41.5845,332.676,NA,NA,"Unknown","Under_Penetrated",1,"Medium_Balance",-0.664257347078751,-0.991427311080804,-1.28648514963807,NA,NA,-1.8240468997217
"Albania",2011,20.69,8.14,12890760315,12894099799,120.69,3100000,106.87,47,99.7,99.5,6.77,1.89,-846616681.6,44.06,53.25,1.79,8,100,128000,4.4,28.99,8.13,10906001759,8.66,29.3,10691786099,44.1,0.8,34.11,NA,NA,NA,55.36,74.52,49.4,1,85.23,1.677e+09,24,8.26,100.5,NA,NA,NA,NA,1.0687,52.7566666666667,3.87120101090789,14.946912992036,NA,2.26799364822443,1.68639895357023,NA,"Medium","Below Average",50.2289,470.228,NA,NA,"Unknown","Adequately_Penetrated",1,"Medium_Balance",-0.580208042874733,-0.413082840845153,-1.22306317720884,NA,NA,-2.03517898748525
"Albania",2012,20.91,7.45,12319834195,12228069196,117.14,3500000,121.02,49.4,99.9,99.9,5.28,1.53,-834803023.1,43.08,54.33,1.85,9,99.9,160000,5.5,26.42,7.87,10216293757,8.39,22.4,10760660629,36.21,-0.85,25.62,29,0.6,0.1,52.63,73.07,58.62,0.99,87.21,1.374e+09,74,25.51,117.01,NA,NA,NA,NA,1.2102,58.64,3.91999117507732,15.0682738121739,0.0953101798043249,2.23964529322017,1.87180217690159,2,"Medium","Below Average",59.78388,665.61,49.3506,35.074,"Unknown","Adequately_Penetrated",2,"Medium_Balance",-0.479348877829911,0.152862819862624,-1.13585796511865,-0.527424184576776,-0.849150045064254,-2.05345003354171
"Albania",2013,20.87,9.82,12776224497,12996543353,119.11,3690000,127.67,51.8,99.9,99.9,3.37,1.74,-1225674342,41.85,55.39,1.74,9,99.8,183000,6.28,22.44,9.95,10878878367,12.65,21.2,11132894273,27.57,2.23,18.96,NA,NA,NA,46.48,73.43,63.84,0.98,86.9,1.567e+09,103,35.58,91.12,0.98,NA,NA,NA,1.2767,61.9166666666667,3.96651119071222,15.1211372870194,NA,2.61373952163097,1.98513086220859,NA,"High","Below Average",66.13306,801.7676,NA,NA,"Unknown","Adequately_Penetrated",2,"Medium_Balance",-0.378489712785089,0.418837282315396,-1.07402154200015,NA,NA,-1.76517352909533
"Albania",2014,20.94,8.69,13228147516,13349419700,117.91,3360000,116.49,54.3,100,100,1.42,1.95,-1074294190,41.2,56.42,1.65,9,99.9,208000,7.16,22.27,8.92,11106516465,10.66,10.1,11243215091,28.96,0.93,17.41,34.6,1,0.1,47.07,74.38,65.55,0.98,87.46,1.689e+09,151,52.27,105.69,1.35,NA,NA,NA,1.1649,59.3166666666667,4.01277290852829,15.0274518295584,0.0953101798043249,2.45616418092235,2.09924416897602,3,"High","Below Average",63.25407,834.0684,54.2457,35.5122,"Unknown","Adequately_Penetrated",2,"Low_Access_High_Poverty",-0.273428082530066,-0.028319783883399,-1.004257372328,-0.527424184576776,-0.0978538410103337,-1.89983790558554
"Albania",2015,20.28,8.69,11386853113,11521811394,117.62,3400000,117.99,56.9,100,100,-0.15,2.36,-910256726,42.5,57.43,1.48,9,100,243000,8.38,23.85,9.89,9442334426,11.12,10.3,11521811394,31.3,0.69,18.79,32.8,0.1,0,49.37,73.27,61.96,0.98,88.65,1.311e+09,197,68.39,98.79,0.46,NA,NA,NA,1.1799,61.09,4.05871738457895,15.039286283704,0,2.49485698064117,2.23857976301813,1,"High","Below Average",67.13631,988.7562,56.9,38.2368,"Unknown","Adequately_Penetrated",2,"Medium_Balance",-0.164163987064843,0.0316744557676021,-0.907538864373428,-0.620974165658279,-0.339341906599094,-1.86870945674861
"Albania",2016,18.17,8.81,11861199831,12053832974,117.45,3370000,116.96,59.6,99.9,100,0.24,2.7,-1037328978,43.58,58.42,1.54,9,99.7,266000,9.19,27.04,10.32,9972441814,13.36,12.5,11951741965,31.65,3.69,20.06,33.7,0.1,0,51.27,74.13,58.49,0.99,89.39,1.338e+09,416,144.64,99.6,0.71,NA,NA,NA,1.1696,61.9166666666667,4.10429489307527,15.0304235990644,0,2.66444656362008,2.32140684723463,1,"High","Below Average",69.70816,1074.8624,59.6,39.5148,"Unknown","Adequately_Penetrated",2,"Medium_Balance",-0.0506974263894178,-0.00952158879275205,-0.843324117288833,-0.620974165658279,-0.218597873804714,-1.71712744502093
"Albania",2017,16.59,7.86,13019726212,13051517644,116.16,3630000,125.92,62.4,99.9,100,-0.5,2.98,-1128922245,42.87,59.38,1.54,9,99.7,304000,10.48,30.51,10.21,10717903288,15.44,12,12244490188,31.62,2.01,21.62,33.1,0.4,0,52.05,73.23,58.02,1,83.56,1.473e+09,1273,443.02,106.45,5,NA,NA,NA,1.2592,66.2666666666667,4.14946386144318,15.1047434817231,0,2.79971738962803,2.44060639089142,2,"High","Above Average",78.57408,1319.6416,62.4,41.7456,"Unknown","Adequately_Penetrated",2,"Medium_Balance",0.0669715994962077,0.348844002722562,-0.741056186746701,-0.620974165658279,-0.299093895667634,-1.57637271984523
