"Access_Electricity","Access.to.electricity..rural....of.rural.population.","Access.to.electricity..urban....of.urban.population.","Internet_Usage","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Poverty_Rate","Poverty.gap.at..2.15.a.day..2017.PPP.....","Individuals.using.the.Internet..female....of.female.population.","Individuals.using.the.Internet..male....of.male.population.","Mobile.cellular.subscriptions","Mobile.cellular.subscriptions..per.100.people.","Poverty_Quartile","Log_Poverty_Rate","Log_Gini_Index","Scaled_Access_Electricity","Scaled_Gini_Index","Scaled_Poverty_Rate","Access_Electricity_x_Poverty","Poverty_Category","Gini_Quartile","Log_Internet_Usage","Log_Access_Electricity"
42.4,28,89.9,1.84,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,7900000,29.89,2,1.90905665524534,3.6168412344903,-1.45898906586246,1.558227305166e-13,-1.75741141726725e-14,243.660983606557,"Low",1,1.04380405217311,3.77045944110636
48.3,36.7,85.9,3.55,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,10500000,38.34,2,1.90905665524534,3.6168412344903,-1.24422052865616,1.558227305166e-13,-1.75741141726725e-14,277.566639344262,"Low",1,1.51512723296286,3.89792408104864
42.7,30.2,82.8,4,14,0.5,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,10200000,36.24,2,1.90905665524534,3.6168412344903,-1.44806863176722,1.558227305166e-13,-1.75741141726725e-14,245.385,"Low",1,1.6094379124341,3.77734810210154
43.2,29.6,86.6,5,16,0.55,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,13800000,47.17,2,1.90905665524534,3.6168412344903,-1.42986790827517,1.558227305166e-13,-1.75741141726725e-14,248.258360655738,"Low",1,1.79175946922805,3.78872478908365
69.1,60.8,95,5.45,38,1.25,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,15300000,50.35,2,1.90905665524534,3.6168412344903,-0.487070431386471,1.558227305166e-13,-1.75741141726725e-14,397.098442622951,"Low",1,1.86408013080768,4.24992279404054
68,60.2,92.2,5.9,46,1.46,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,16800000,53.29,2,1.90905665524534,3.6168412344903,-0.527112023069003,1.558227305166e-13,-1.75741141726725e-14,390.777049180328,"Low",1,1.93152141160321,4.23410650459726
89.5,86.5,98.7,7,57,1.74,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,18400000,56.26,2,1.90905665524534,3.6168412344903,0.255519087089566,1.558227305166e-13,-1.75741141726725e-14,514.331557377049,"Low",1,2.07944154167984,4.50534985070588
71.5,64.6,92.5,8.26,74,2.19,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,19700000,58.39,2,1.90905665524534,3.6168412344903,-0.399706958624585,1.558227305166e-13,-1.75741141726725e-14,410.890573770492,"Low",1,2.22570404865809,4.28358656186063
97.7,97.1,99.5,11,426,12.3,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,21600000,62.37,2,1.90905665524534,3.6168412344903,0.554010952359345,1.558227305166e-13,-1.75741141726725e-14,561.454672131148,"Low",1,2.484906649788,4.59208494643944
97.7,97.1,99.5,13.5,1577,44.24,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,23900000,67.14,2,1.90905665524534,3.6168412344903,0.554010952359345,1.558227305166e-13,-1.75741141726725e-14,561.454672131148,"Low",1,2.67414864942653,4.59208494643944
