"Access_Electricity","Access.to.electricity..rural....of.rural.population.","Access.to.electricity..urban....of.urban.population.","Communications_Imports","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Gini_Index","Internet_Usage","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Poverty_Rate","Poverty_Gap","Individuals.using.the.Internet..female....of.female.population.","Individuals.using.the.Internet..male....of.male.population.","Mobile.cellular.subscriptions","Mobile_Cellular_Subscriptions","Log_Internet_Usage","Log_Access_Electricity","Log_Gini_Index","Log_Poverty_Rate","Log_Mobile_Cellular_Subscriptions","Log_Poverty_Gap","Log_Communications_Imports","Scaled_Internet_Usage","Scaled_Access_Electricity","Scaled_Gini_Index","Scaled_Poverty_Rate","Scaled_Mobile_Cellular_Subscriptions","Scaled_Poverty_Gap","Scaled_Communications_Imports","Access_Electricity_x_Gini","Poverty_Gap_x_Electricity","Communications_x_Internet","Internet_x_Electricity","Mobile_Cellular_x_Gini","Poverty_Quartile"
42.4,28,89.9,24.61,78.6,17.64,36.2198132780083,1.84,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,7900000,29.89,1.04380405217311,3.77045944110636,3.6168412344903,1.90905665524534,3.43043250693049,1.08751957056636,3.24298290021143,-1.47849041437637,-1.45898906586246,1.558227305166e-13,-1.75741141726725e-14,-1.64210477696516,-1.39105197240841e-14,-0.782085540576671,1535.72008298755,83.3968032786886,45.2824,78.016,1082.61021887967,2
48.3,36.7,85.9,28.25,82.11,22.64,36.2198132780083,3.55,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,10500000,38.34,1.51512723296286,3.89792408104864,3.6168412344903,1.90905665524534,3.67224181296091,1.08751957056636,3.37587957367787,-1.41815265691607,-1.24422052865616,1.558227305166e-13,-1.75741141726725e-14,-1.43927985444018,-1.39105197240841e-14,-0.541304996622232,1749.4169813278,95.0015471311476,100.2875,171.465,1388.66764107884,2
42.7,30.2,82.8,21.47,81.19,19.49,36.2198132780083,4,14,0.5,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,10200000,36.24,1.6094379124341,3.77734810210154,3.6168412344903,1.90905665524534,3.61738345240887,1.08751957056636,3.11218108619724,-1.40227429968967,-1.44806863176722,1.558227305166e-13,-1.75741141726725e-14,-1.48968604820378,-1.39105197240841e-14,-0.989791833987917,1546.58602697095,83.9868750000001,85.88,170.8,1312.60603319502,2
43.2,29.6,86.6,24.53,75.82,22.67,36.2198132780083,5,16,0.55,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,13800000,47.17,1.79175946922805,3.78872478908365,3.6168412344903,1.90905665524534,3.87473642064213,1.08751957056636,3.23985423125339,-1.36698906140879,-1.42986790827517,1.558227305166e-13,-1.75741141726725e-14,-1.22733381113893,-1.39105197240841e-14,-0.787377420663581,1564.69593360996,84.9703278688526,122.65,216,1708.48859232365,2
69.1,60.8,95,29.51,71.64,27.69,36.2198132780083,5.45,38,1.25,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,15300000,50.35,1.86408013080768,4.24992279404054,3.6168412344903,1.90905665524534,3.93866493637457,1.08751957056636,3.41805449872858,-1.3511107041824,-0.487070431386471,1.558227305166e-13,-1.75741141726725e-14,-1.15100443201118,-1.39105197240841e-14,-0.457957885253388,2502.78909751037,135.91318647541,160.8295,376.595,1823.66759854772,2
68,60.2,92.2,19.56,45.97,15.58,36.2198132780083,5.9,46,1.46,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,16800000,53.29,1.93152141160321,4.23410650459726,3.6168412344903,1.90905665524534,3.99434004791736,1.08751957056636,3.02334744058696,-1.335232346956,-0.527112023069003,1.558227305166e-13,-1.75741141726725e-14,-1.08043576074214,-1.39105197240841e-14,-1.11613547106291,2462.94730290456,133.749590163935,115.404,401.2,1930.15384958506,2
89.5,86.5,98.7,24.48,63.23,22.14,36.2198132780083,7,57,1.74,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,18400000,56.26,2.07944154167984,4.50534985070588,3.6168412344903,1.90905665524534,4.04760229966997,1.08751957056636,3.23789383070396,-1.29641858484703,0.255519087089566,1.558227305166e-13,-1.75741141726725e-14,-1.00914700099075,-1.39105197240841e-14,-0.7906848457179,3241.67328838174,176.03806352459,171.36,626.5,2037.72669502075,2
71.5,64.6,92.5,13.18,69.92,9.95,36.2198132780083,8.26,74,2.19,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,19700000,58.39,2.22570404865809,4.28358656186063,3.6168412344903,1.90905665524534,4.08412586202777,1.08751957056636,2.65183252110398,-1.25195918461312,-0.399706958624585,1.558227305166e-13,-1.75741141726725e-14,-0.95802071874481,-1.39105197240841e-14,-1.53816290799404,2589.71664937759,140.633760245902,108.8668,590.59,2114.8748973029,2
97.7,97.1,99.5,10.99,61.68,7.12,36.2198132780083,11,426,12.3,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,21600000,62.37,2.484906649788,4.59208494643944,3.6168412344903,1.90905665524534,4.14899056333543,1.08751957056636,2.48407296903942,-1.15527763172352,0.554010952359345,1.558227305166e-13,-1.75741141726725e-14,-0.862488980088073,-1.39105197240841e-14,-1.68302812537322,3538.67575726141,192.166690573771,120.89,1074.7,2259.02975414938,2
97.7,97.1,99.5,9.26,64.76,5.66,36.2198132780083,13.5,1577,44.24,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,23900000,67.14,2.67414864942653,4.59208494643944,3.6168412344903,1.90905665524534,4.22156441223282,1.08751957056636,2.32825283974262,-1.06706453602132,0.554010952359345,1.558227305166e-13,-1.75741141726725e-14,-0.747994911396457,-1.39105197240841e-14,-1.79746503225267,3538.67575726141,192.166690573771,125.01,1318.95,2431.79826348548,2
93.4,91.6,98.8,13.51,65.52,9.85,36.2198132780083,16.8,1965,53.56,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2.2e+07,59.9,2.87919845729804,4.54754107315146,3.6168412344903,1.90905665524534,4.10923317471585,1.08751957056636,2.6748380668961,-0.950623249694416,0.397484730327632,1.558227305166e-13,-1.75741141726725e-14,-0.921776265133837,-1.39105197240841e-14,-1.51633390263554,3382.93056016598,183.70899590164,226.968,1569.12,2169.5668153527,2
97.7,97.1,99.5,12.07,63.72,8.08,36.2198132780083,17.6,1047,27.72,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,22600000,59.78,2.92316158071916,4.59208494643944,3.6168412344903,1.90905665524534,4.10726078748865,1.08751957056636,2.57031952763613,-0.922395059069713,0.554010952359345,1.558227305166e-13,-1.75741141726725e-14,-0.924656619063186,-1.39105197240841e-14,-1.61158774419993,3538.67575726141,192.166690573771,212.432,1719.52,2165.22043775934,2
100,100,98.3,13.33,25.07,12.65,30,23.86,82041.0339782916,3567.78490926012,0.2,0,63.99525,67.5129845422117,1860000,63,3.21326008608257,4.61512051684126,3.43398720448515,0.182321556793955,4.15888308335967,0,2.66235524184008,-0.701509467431409,0.63773428042282,-1.35050619243846,-0.731675163831598,-0.847367121958992,-0.648534489607019,-1.52824063283108,3000,0,318.0538,2386,1890,1
99.6,100,98.7,9.52,18.29,8.84,36.2198132780083,41.2,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2460000,84.07,3.74242022104197,4.61115225766564,3.6168412344903,1.90905665524534,4.44347444698779,1.08751957056636,2.35327820730956,-0.0896634356409634,0.623173701629172,1.558227305166e-13,-1.75741141726725e-14,-0.341624977864159,-1.39105197240841e-14,-1.78026642197021,3607.49340248963,195.90381147541,392.224,4103.52,3044.99970228216,2
99.6,100,99.1,11.78,26.38,10.98,36.2198132780083,45,12,4.12,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2690000,92.41,3.8286413964891,4.61115225766564,3.6168412344903,1.90905665524534,4.53699840588476,1.08751957056636,2.54788144894939,0.0444204698263775,0.623173701629172,1.558227305166e-13,-1.75741141726725e-14,-0.141440379774415,-1.39105197240841e-14,-1.63077080951498,3607.49340248963,195.90381147541,530.1,4482,3347.07294502075,2
99.7,100,99.5,8.66,28.99,8.13,36.2198132780083,47,24,8.26,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3100000,106.87,3.87120101090789,4.61214579972452,3.6168412344903,1.90905665524534,4.68092679838734,1.08751957056636,2.26799364822443,0.114990946388136,0.626813846327584,1.558227305166e-13,-1.75741141726725e-14,0.20564226871212,-1.39105197240841e-14,-1.8371541329045,3611.11538381743,196.100502049181,407.02,4685.9,3870.81144502075,2
99.9,99.9,99.9,8.39,26.42,7.87,29,49.4,74,25.51,0.6,0.1,63.99525,67.5129845422117,3500000,121.02,3.91999117507732,4.61412992735956,3.40119738166216,0.470003629245736,4.80418496572371,0.0953101798043249,2.23964529322017,0.199675518262246,0.634094135724408,-1.56763589265208,-0.678910647805321,0.54528400288117,-0.615562167793379,-1.85501422819782,2897.1,9.99,414.466,4935.06,3509.58,1
99.9,99.8,99.9,12.65,22.44,9.95,36.2198132780083,51.8,103,35.58,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3690000,127.67,3.96651119071222,4.61412992735956,3.6168412344903,1.90905665524534,4.8572509871969,1.08751957056636,2.61373952163097,0.284360090136356,0.634094135724408,1.558227305166e-13,-1.75741141726725e-14,0.704903616465918,-1.39105197240841e-14,-1.57322161356983,3618.35934647303,196.493883196722,655.27,5174.82,4624.18356120332,2
100,99.9,100,10.66,22.27,8.92,34.6,54.3,151,52.27,1,0.1,63.99525,67.5129845422117,3360000,116.49,4.01277290852829,4.61512051684126,3.57234563785798,0.693147180559945,4.76635322357948,0.0953101798043249,2.45616418092235,0.372573185838554,0.63773428042282,-0.351709571455823,-0.626146131779045,0.436550642048252,-0.615562167793379,-1.70485713073173,3460,10,578.838,5430,4030.554,1
100,100,100,11.12,23.85,9.89,32.8,56.9,197,68.39,0.1,0,63.99525,67.5129845422117,3400000,117.99,4.05871738457895,4.61512051684126,3.52046080248897,0.0953101798043249,4.77903945596706,0,2.49485698064117,0.46431480536884,0.63773428042282,-0.742543031840335,-0.744866292838167,0.472555066165112,-0.648534489607019,-1.67442882023199,3280,0,632.728,5690,3870.072,1
99.9,99.7,100,13.36,27.04,10.32,33.7,59.6,416,144.64,0.1,0,63.99525,67.5129845422117,3370000,116.96,4.10429489307527,4.61412992735956,3.54673968695281,0.0953101798043249,4.77034558394708,0,2.66444656362008,0.559584948727214,0.634094135724408,-0.547126301648079,-0.744866292838167,0.447832028271534,-0.648534489607019,-1.52625617779849,3366.63,0,796.256,5954.04,3941.552,1
99.9,99.7,100,15.44,30.51,10.21,33.1,62.4,1273,443.02,0.4,0,63.99525,67.5129845422117,3630000,125.92,4.14946386144318,4.61412992735956,3.52929738428947,0.336472236621213,4.843556966715,0,2.79971738962803,0.658383615913676,0.634094135724408,-0.677404121776249,-0.705292905818459,0.662898454996248,-0.648534489607019,-1.38866729553881,3306.69,0,963.456,6233.76,4167.952,1
100,100,100,13.73,29.85,9.16,30.1,65.4,1508,526.1,0,0,63.99525,67.5129845422117,2710000,94.36,4.19569705648239,4.61512051684126,3.43720781918519,0,4.55765920331704,0,2.68988623047454,0.764239330756314,0.63773428042282,-1.3287932224171,-0.758057421844736,-0.0946346284224962,-0.648534489607019,-1.50178123239653,3010,0,897.942,6540,2840.236,1
100,100,100,13.34,30,9.86,30.1,68.55,2190,767.29,0,0,65.96,71.16,2630000,91.52,4.24204591836945,4.61512051684126,3.43720781918519,0,4.52742483736324,0,2.66305283517147,0.875387831341083,0.63773428042282,-1.3287932224171,-0.758057421844736,-0.162803004750419,-0.648534489607019,-1.52757914782022,3010,0,914.457,6855,2754.752,1
99.3,97.9,100,64.41,53.19,62.36,36.2198132780083,10.18,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2.7e+07,78.19,2.41412646772695,4.60816569496789,3.6168412344903,1.90905665524534,4.37185002822232,1.08751957056636,4.18067515197312,-1.18421152711384,0.612253267533936,1.558227305166e-13,-1.75741141726725e-14,-0.482762320402252,-1.39105197240841e-14,1.85062480266142,3596.62745850622,195.313739754099,655.6938,1010.874,2832.02720020747,2
98.8,97.4,99.5,68.78,53.7,67.45,36.2198132780083,11.23,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,32700000,92.99,2.50389194969908,4.60316818331742,3.6168412344903,1.90905665524534,4.54318839363221,1.08751957056636,4.24534743575863,-1.14716202691891,0.594052544041877,1.558227305166e-13,-1.75741141726725e-14,-0.127518669115896,-1.39105197240841e-14,2.13969375240892,3578.51755186722,194.330286885246,772.3994,1109.524,3368.08043672199,2
98.9,97.5,99.6,67.52,62.94,66.5,36.2198132780083,12.5,13,0.36,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,32800000,91.42,2.60268968544438,4.60416968565451,3.6168412344903,1.90905665524534,4.52634340544212,1.08751957056636,4.22712567345592,-1.1023497743022,0.597692688740289,1.558227305166e-13,-1.75741141726725e-14,-0.165203299691543,-1.39105197240841e-14,2.05634664104007,3582.13953319502,194.526977459017,844,1236.25,3311.21532987552,2
