"Access_Electricity","Access.to.electricity..rural....of.rural.population.","Access.to.electricity..urban....of.urban.population.","Communications_Imports","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Gini_Index","Internet_Usage","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Poverty_Rate","Poverty_Gap","Individuals.using.the.Internet..female....of.female.population.","Individuals.using.the.Internet..male....of.male.population.","Mobile.cellular.subscriptions","Mobile_Cellular_Subscriptions","Log_Internet_Usage","Log_Access_Electricity","Log_Gini_Index","Log_Poverty_Rate","Log_Mobile_Cellular_Subscriptions","Log_Poverty_Gap","Log_Communications_Imports","Scaled_Internet_Usage","Scaled_Access_Electricity","Scaled_Gini_Index","Scaled_Poverty_Rate","Scaled_Mobile_Cellular_Subscriptions","Scaled_Poverty_Gap","Scaled_Communications_Imports","Access_Electricity_x_Gini","Poverty_Gap_x_Electricity","Communications_x_Internet","Internet_x_Electricity","Mobile_Cellular_x_Gini","Poverty_Quartile","Log_Poverty_Rate_Squared","Mobile_Cellular_Subscriptions_Squared","Internet_Usage_Adjusted","Mobile_Cellular_Subscriptions_Centered","Mobile_Cellular_Subscriptions_Centered_Squared"
42.4,28,89.9,24.61,78.6,17.64,36.2198132780083,1.84,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,7900000,29.89,0.609765571620894,3.77045944110636,3.6168412344903,1.90905665524534,3.43043250693049,1.08751957056636,3.24298290021143,-1.47849041437637,-1.45898906586246,1.558227305166e-13,-1.75741141726725e-14,-1.64210477696516,-1.39105197240841e-14,-0.782085540576671,1535.72008298755,83.3968032786886,45.2824,78.016,1082.61021887967,2,3.64449731293653,893.4121,1.84,-68.4126250000002,4680.28725939065
48.3,36.7,85.9,28.25,82.11,22.64,36.2198132780083,3.55,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,10500000,38.34,1.26694760348732,3.89792408104864,3.6168412344903,1.90905665524534,3.67224181296091,1.08751957056636,3.37587957367787,-1.41815265691607,-1.24422052865616,1.558227305166e-13,-1.75741141726725e-14,-1.43927985444018,-1.39105197240841e-14,-0.541304996622232,1749.4169813278,95.0015471311476,100.2875,171.465,1388.66764107884,2,3.64449731293653,1469.9556,3.55,-59.9626250000002,3595.51639689065
42.7,30.2,82.8,21.47,81.19,19.49,36.2198132780083,4,14,0.5,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,10200000,36.24,1.38629436111989,3.77734810210154,3.6168412344903,1.90905665524534,3.61738345240887,1.08751957056636,3.11218108619724,-1.40227429968967,-1.44806863176722,1.558227305166e-13,-1.75741141726725e-14,-1.48968604820378,-1.39105197240841e-14,-0.989791833987917,1546.58602697095,83.9868750000001,85.88,170.8,1312.60603319502,2,3.64449731293653,1313.3376,4,-62.0626250000002,3851.76942189065
43.2,29.6,86.6,24.53,75.82,22.67,36.2198132780083,5,16,0.55,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,13800000,47.17,1.6094379124341,3.78872478908365,3.6168412344903,1.90905665524534,3.87473642064213,1.08751957056636,3.23985423125339,-1.36698906140879,-1.42986790827517,1.558227305166e-13,-1.75741141726725e-14,-1.22733381113893,-1.39105197240841e-14,-0.787377420663581,1564.69593360996,84.9703278688526,122.65,216,1708.48859232365,2,3.64449731293653,2225.0089,5,-51.1326250000002,2614.54533939065
69.1,60.8,95,29.51,71.64,27.69,36.2198132780083,5.45,38,1.25,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,15300000,50.35,1.69561560867515,4.24992279404054,3.6168412344903,1.90905665524534,3.93866493637457,1.08751957056636,3.41805449872858,-1.3511107041824,-0.487070431386471,1.558227305166e-13,-1.75741141726725e-14,-1.15100443201118,-1.39105197240841e-14,-0.457957885253388,2502.78909751037,135.91318647541,160.8295,376.595,1823.66759854772,2,3.64449731293653,2535.1225,5.45,-47.9526250000002,2299.45424439064
68,60.2,92.2,19.56,45.97,15.58,36.2198132780083,5.9,46,1.46,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,16800000,53.29,1.77495235091167,4.23410650459726,3.6168412344903,1.90905665524534,3.99434004791736,1.08751957056636,3.02334744058696,-1.335232346956,-0.527112023069003,1.558227305166e-13,-1.75741141726725e-14,-1.08043576074214,-1.39105197240841e-14,-1.11613547106291,2462.94730290456,133.749590163935,115.404,401.2,1930.15384958506,2,3.64449731293653,2839.8241,5.9,-45.0126250000002,2026.13640939064
89.5,86.5,98.7,24.48,63.23,22.14,36.2198132780083,7,57,1.74,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,18400000,56.26,1.94591014905531,4.50534985070588,3.6168412344903,1.90905665524534,4.04760229966997,1.08751957056636,3.23789383070396,-1.29641858484703,0.255519087089566,1.558227305166e-13,-1.75741141726725e-14,-1.00914700099075,-1.39105197240841e-14,-0.7906848457179,3241.67328838174,176.03806352459,171.36,626.5,2037.72669502075,2,3.64449731293653,3165.1876,7,-42.0426250000002,1767.58231689064
71.5,64.6,92.5,13.18,69.92,9.95,36.2198132780083,8.26,74,2.19,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,19700000,58.39,2.11142458753289,4.28358656186063,3.6168412344903,1.90905665524534,4.08412586202777,1.08751957056636,2.65183252110398,-1.25195918461312,-0.399706958624585,1.558227305166e-13,-1.75741141726725e-14,-0.95802071874481,-1.39105197240841e-14,-1.53816290799404,2589.71664937759,140.633760245902,108.8668,590.59,2114.8748973029,2,3.64449731293653,3409.3921,8.26,-39.9126250000002,1593.01763439064
97.7,97.1,99.5,10.99,61.68,7.12,36.2198132780083,11,426,12.3,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,21600000,62.37,2.39789527279837,4.59208494643944,3.6168412344903,1.90905665524534,4.14899056333543,1.08751957056636,2.48407296903942,-1.15527763172352,0.554010952359345,1.558227305166e-13,-1.75741141726725e-14,-0.862488980088073,-1.39105197240841e-14,-1.68302812537322,3538.67575726141,192.166690573771,120.89,1074.7,2259.02975414938,2,3.64449731293653,3890.0169,11,-35.9326250000002,1291.15353939064
97.7,97.1,99.5,9.26,64.76,5.66,36.2198132780083,13.5,1577,44.24,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,23900000,67.14,2.60268968544438,4.59208494643944,3.6168412344903,1.90905665524534,4.22156441223282,1.08751957056636,2.32825283974262,-1.06706453602132,0.554010952359345,1.558227305166e-13,-1.75741141726725e-14,-0.747994911396457,-1.39105197240841e-14,-1.79746503225267,3538.67575726141,192.166690573771,125.01,1318.95,2431.79826348548,2,3.64449731293653,4507.7796,13.5,-31.1626250000002,971.109196890638
93.4,91.6,98.8,13.51,65.52,9.85,36.2198132780083,16.8,1965,53.56,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2.2e+07,59.9,2.82137888640921,4.54754107315146,3.6168412344903,1.90905665524534,4.10923317471585,1.08751957056636,2.6748380668961,-0.950623249694416,0.397484730327632,1.558227305166e-13,-1.75741141726725e-14,-0.921776265133837,-1.39105197240841e-14,-1.51633390263554,3382.93056016598,183.70899590164,226.968,1569.12,2169.5668153527,2,3.64449731293653,3588.01,16.8,-38.4026250000002,1474.76160689064
97.7,97.1,99.5,12.07,63.72,8.08,36.2198132780083,17.6,1047,27.72,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,22600000,59.78,2.86789890204411,4.59208494643944,3.6168412344903,1.90905665524534,4.10726078748865,1.08751957056636,2.57031952763613,-0.922395059069713,0.554010952359345,1.558227305166e-13,-1.75741141726725e-14,-0.924656619063186,-1.39105197240841e-14,-1.61158774419993,3538.67575726141,192.166690573771,212.432,1719.52,2165.22043775934,2,3.64449731293653,3573.6484,17.6,-38.5226250000002,1483.99263689064
